city,date,team1,team2,venue,toss_winner,toss_decision,win_by_runs,win_by_wickets,winner
Jamaica,21-03-2007,Pakistan,Zimbabwe,"Sabina Park, Kingston",Zimbabwe,field,93,0,Pakistan
Trinidad,21-03-2007,Bangladesh,Sri Lanka,"Queen's Park Oval, Port of Spain",Bangladesh,field,198,0,Sri Lanka
St Lucia,20-03-2007,Kenya,New Zealand,"Beausejour Stadium, Gros Islet",Kenya,field,148,0,New Zealand
St Kitts,20-03-2007,Scotland,South Africa,"Warner Park, Basseterre",South Africa,field,0,7,South Africa
Jamaica,19-03-2007,West Indies,Zimbabwe,"Sabina Park, Kingston",West Indies,field,0,6,West Indies
Trinidad,19-03-2007,Bermuda,India,"Queen's Park Oval, Port of Spain",Bermuda,field,257,0,India
St Lucia,18-03-2007,Canada,England,"Beausejour Stadium, Gros Islet",Canada,field,51,0,England
St Kitts,18-03-2007,Australia,Netherlands,"Warner Park, Basseterre",Australia,bat,229,0,Australia
Trinidad,17-03-2007,Bangladesh,India,"Queen's Park Oval, Port of Spain",India,bat,0,5,Bangladesh
Jamaica,17-03-2007,Ireland,Pakistan,"Sabina Park, Kingston",Ireland,field,0,3,Ireland
St Kitts,16-03-2007,Netherlands,South Africa,"Warner Park, Basseterre",Netherlands,field,221,0,South Africa
St Lucia,16-03-2007,England,New Zealand,"Beausejour Stadium, Gros Islet",New Zealand,field,0,6,New Zealand
Jamaica,15-03-2007,Ireland,Zimbabwe,"Sabina Park, Kingston",Zimbabwe,field,0,0,
Trinidad,15-03-2007,Bermuda,Sri Lanka,"Queen's Park Oval, Port of Spain",Sri Lanka,bat,243,0,Sri Lanka
St Kitts,14-03-2007,Australia,Scotland,"Warner Park, Basseterre",Scotland,field,203,0,Australia
Jamaica,13-03-2007,West Indies,Pakistan,"Sabina Park, Kingston",Pakistan,field,54,0,West Indies
Hamilton,20-02-2007,New Zealand,Australia,Seddon Park,Australia,bat,0,1,New Zealand
Auckland,18-02-2007,New Zealand,Australia,Eden Park,New Zealand,field,0,5,New Zealand
Visakhapatnam,17-02-2007,India,Sri Lanka,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,India,field,0,7,India
Wellington,16-02-2007,New Zealand,Australia,Westpac Stadium,New Zealand,field,0,10,New Zealand
Johannesburg,14-02-2007,South Africa,Pakistan,New Wanderers Stadium,Pakistan,bat,0,9,South Africa
Margao,14-02-2007,India,Sri Lanka,"Nehru Stadium, Fatorda",Sri Lanka,bat,0,5,India
,11-02-2007,Australia,England,Sydney Cricket Ground,England,bat,34,0,England
Rajkot,11-02-2007,India,Sri Lanka,Madhavrao Scindia Cricket Ground,India,field,5,0,Sri Lanka
Cape Town,11-02-2007,South Africa,Pakistan,Newlands,South Africa,field,0,10,South Africa
Port Elizabeth,09-02-2007,South Africa,Pakistan,St George's Park,Pakistan,bat,0,0,
,09-02-2007,Australia,England,Melbourne Cricket Ground,Australia,bat,0,4,England
Kolkata,08-02-2007,India,Sri Lanka,Eden Gardens,India,field,0,0,
Durban,07-02-2007,South Africa,Pakistan,Kingsmead,Pakistan,bat,141,0,Pakistan
Brisbane,06-02-2007,England,New Zealand,"Brisbane Cricket Ground, Woolloongabba",England,bat,14,0,England
Nairobi,05-02-2007,Kenya,Canada,Jaffery Sports Club Ground,Kenya,bat,158,0,Kenya
Centurion,04-02-2007,South Africa,Pakistan,SuperSport Park,Pakistan,field,164,0,South Africa
Nairobi,04-02-2007,Kenya,Scotland,Gymkhana Club Ground,Scotland,bat,77,0,Scotland
,04-02-2007,Australia,New Zealand,Melbourne Cricket Ground,New Zealand,bat,0,5,Australia
Nairobi,04-02-2007,Bermuda,Netherlands,Ruaraka Sports Club Ground,Netherlands,field,0,8,Netherlands
Nairobi,02-02-2007,Bermuda,Canada,Gymkhana Club Ground,Bermuda,field,56,0,Canada
,02-02-2007,Australia,England,Sydney Cricket Ground,England,bat,92,0,England
Vadodara,31-01-2007,India,West Indies,Indian Petrochemicals Corporation Limited Sports Complex Ground,West Indies,field,160,0,India
Perth,30-01-2007,England,New Zealand,Western Australia Cricket Association Ground,New Zealand,bat,58,0,New Zealand
Perth,28-01-2007,Australia,New Zealand,Western Australia Cricket Association Ground,Australia,bat,8,0,Australia
Chennai,27-01-2007,India,West Indies,"MA Chidambaram Stadium, Chepauk",West Indies,field,0,3,West Indies
,26-01-2007,Australia,England,Adelaide Oval,England,bat,0,9,Australia
,23-01-2007,England,New Zealand,Adelaide Oval,New Zealand,bat,90,0,New Zealand
,21-01-2007,Australia,New Zealand,Sydney Cricket Ground,New Zealand,bat,0,2,Australia
Brisbane,19-01-2007,Australia,England,"Brisbane Cricket Ground, Woolloongabba",England,bat,0,4,Australia
Hobart,16-01-2007,England,New Zealand,Bellerive Oval,New Zealand,bat,0,3,England
Hobart,14-01-2007,Australia,New Zealand,Bellerive Oval,Australia,bat,105,0,Australia
,12-01-2007,Australia,England,Melbourne Cricket Ground,England,bat,0,8,Australia
Auckland,06-01-2007,New Zealand,Sri Lanka,Eden Park,Sri Lanka,bat,189,0,Sri Lanka
Christchurch,02-01-2007,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,0,4,New Zealand
Napier,28-12-2006,New Zealand,Sri Lanka,McLean Park,New Zealand,bat,0,7,Sri Lanka
Karachi,16-12-2006,Pakistan,West Indies,National Stadium,Pakistan,field,0,7,Pakistan
,13-12-2006,Pakistan,West Indies,Multan Cricket Stadium,Pakistan,bat,0,7,West Indies
Lahore,10-12-2006,Pakistan,West Indies,Gaddafi Stadium,Pakistan,field,0,7,Pakistan
Mirpur,09-12-2006,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Bangladesh,field,0,3,Bangladesh
Mirpur,08-12-2006,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Bangladesh,field,0,8,Bangladesh
Faisalabad,07-12-2006,Pakistan,West Indies,Iqbal Stadium,Pakistan,field,0,2,Pakistan
Bogra,05-12-2006,Bangladesh,Zimbabwe,Shaheed Chandu Stadium,Zimbabwe,field,26,0,Bangladesh
Centurion,03-12-2006,South Africa,India,SuperSport Park,South Africa,field,0,9,South Africa
Bogra,03-12-2006,Bangladesh,Zimbabwe,Shaheed Chandu Stadium,Bangladesh,field,0,6,Bangladesh
Benoni,02-12-2006,Bermuda,Netherlands,Willowmoore Park,Netherlands,bat,0,6,Bermuda
Benoni,01-12-2006,Canada,Netherlands,Willowmoore Park,Netherlands,field,0,1,Netherlands
Benoni,30-11-2006,Bermuda,Canada,Willowmoore Park,Canada,field,0,3,Canada
Port Elizabeth,29-11-2006,South Africa,India,St George's Park,South Africa,bat,80,0,South Africa
Potchefstroom,27-11-2006,Bermuda,Canada,Sedgars Park,Canada,field,0,5,Canada
Cape Town,26-11-2006,South Africa,India,Newlands,South Africa,bat,106,0,South Africa
Durban,22-11-2006,South Africa,India,Kingsmead,South Africa,bat,157,0,South Africa
Mumbai,05-11-2006,Australia,West Indies,Brabourne Stadium,West Indies,bat,0,8,Australia
Jaipur,02-11-2006,South Africa,West Indies,Sawai Mansingh Stadium,South Africa,bat,0,6,West Indies
Chandigarh,01-11-2006,Australia,New Zealand,"Punjab Cricket Association Stadium, Mohali",New Zealand,field,34,0,Australia
Chandigarh,29-10-2006,India,Australia,"Punjab Cricket Association Stadium, Mohali",India,bat,0,6,Australia
Ahmedabad,28-10-2006,England,West Indies,"Sardar Patel Stadium, Motera",West Indies,bat,0,3,England
Chandigarh,27-10-2006,Pakistan,South Africa,"Punjab Cricket Association Stadium, Mohali",South Africa,bat,124,0,South Africa
Ahmedabad,26-10-2006,India,West Indies,"Sardar Patel Stadium, Motera",West Indies,field,0,3,West Indies
Chandigarh,25-10-2006,New Zealand,Pakistan,"Punjab Cricket Association Stadium, Mohali",Pakistan,field,51,0,New Zealand
Ahmedabad,24-10-2006,South Africa,Sri Lanka,"Sardar Patel Stadium, Motera",Sri Lanka,field,78,0,South Africa
Jaipur,21-10-2006,Australia,England,Sawai Mansingh Stadium,Australia,field,0,6,Australia
Mumbai,20-10-2006,New Zealand,Sri Lanka,Brabourne Stadium,New Zealand,bat,0,7,Sri Lanka
Mumbai,18-10-2006,Australia,West Indies,Brabourne Stadium,West Indies,bat,10,0,West Indies
Jaipur,17-10-2006,Pakistan,Sri Lanka,Sawai Mansingh Stadium,Sri Lanka,bat,0,4,Pakistan
Mumbai,16-10-2006,New Zealand,South Africa,Brabourne Stadium,South Africa,field,87,0,New Zealand
Jaipur,15-10-2006,India,England,Sawai Mansingh Stadium,India,field,0,4,India
Mumbai,14-10-2006,Sri Lanka,West Indies,Brabourne Stadium,West Indies,bat,0,9,Sri Lanka
Jaipur,13-10-2006,Bangladesh,Zimbabwe,Sawai Mansingh Stadium,Zimbabwe,field,101,0,Bangladesh
Jaipur,11-10-2006,Bangladesh,West Indies,Sawai Mansingh Stadium,Bangladesh,bat,0,10,West Indies
Ahmedabad,10-10-2006,Sri Lanka,Zimbabwe,"Sardar Patel Stadium, Motera",Sri Lanka,bat,144,0,Sri Lanka
Ahmedabad,08-10-2006,West Indies,Zimbabwe,"Sardar Patel Stadium, Motera",Zimbabwe,bat,0,9,West Indies
Chandigarh,07-10-2006,Bangladesh,Sri Lanka,"Punjab Cricket Association Stadium, Mohali",Bangladesh,field,37,0,Sri Lanka
Kuala Lumpur,24-09-2006,Australia,West Indies,Kinrara Academy Oval,Australia,bat,127,0,Australia
Kuala Lumpur,22-09-2006,Australia,India,Kinrara Academy Oval,Australia,bat,18,0,Australia
Kuala Lumpur,20-09-2006,India,West Indies,Kinrara Academy Oval,India,bat,16,0,India
Potchefstroom,20-09-2006,South Africa,Zimbabwe,Sedgars Park,South Africa,bat,171,0,South Africa
East London,18-09-2006,South Africa,Zimbabwe,Buffalo Park,Zimbabwe,bat,0,6,South Africa
Kuala Lumpur,18-09-2006,Australia,West Indies,Kinrara Academy Oval,Australia,bat,0,3,West Indies
Kuala Lumpur,16-09-2006,Australia,India,Kinrara Academy Oval,Australia,bat,0,0,
Bloemfontein,15-09-2006,South Africa,Zimbabwe,Goodyear Park,Zimbabwe,bat,0,5,South Africa
Kuala Lumpur,14-09-2006,India,West Indies,Kinrara Academy Oval,India,bat,29,0,West Indies
Birmingham,10-09-2006,England,Pakistan,Edgbaston,England,field,0,3,England
Nottingham,08-09-2006,England,Pakistan,Trent Bridge,Pakistan,bat,0,8,England
Southampton,05-09-2006,England,Pakistan,The Rose Bowl,Pakistan,field,0,2,Pakistan
London,02-09-2006,England,Pakistan,Lord's,Pakistan,field,0,7,Pakistan
Cardiff,30-08-2006,England,Pakistan,Sophia Gardens,Pakistan,field,0,0,
Colombo,19-08-2006,Sri Lanka,India,Sinhalese Sports Club Ground,India,bat,0,0,
Nairobi,15-08-2006,Kenya,Bangladesh,Gymkhana Club Ground,Bangladesh,field,0,6,Bangladesh
Nairobi,13-08-2006,Kenya,Bangladesh,Gymkhana Club Ground,Kenya,bat,0,2,Bangladesh
Nairobi,12-08-2006,Kenya,Bangladesh,Gymkhana Club Ground,Bangladesh,field,0,6,Bangladesh
,06-08-2006,Zimbabwe,Bangladesh,Harare Sports Club,Zimbabwe,bat,0,8,Bangladesh
Leeds,01-07-2006,England,Sri Lanka,Headingley,England,bat,0,8,Sri Lanka
Manchester,28-06-2006,England,Sri Lanka,Old Trafford,Sri Lanka,bat,33,0,Sri Lanka
Chester-le-Street,24-06-2006,England,Sri Lanka,Riverside Ground,England,bat,0,8,Sri Lanka
London,20-06-2006,England,Sri Lanka,Kennington Oval,Sri Lanka,bat,46,0,Sri Lanka
London,17-06-2006,England,Sri Lanka,Lord's,England,field,20,0,Sri Lanka
Belfast,13-06-2006,Ireland,England,"Civil Service Cricket Club, Stormont",England,bat,38,0,England
Trinidad,28-05-2006,West Indies,India,"Queen's Park Oval, Port of Spain",India,field,19,0,West Indies
Trinidad,26-05-2006,West Indies,India,"Queen's Park Oval, Port of Spain",West Indies,field,0,6,West Indies
St Kitts,23-05-2006,West Indies,India,"Warner Park, Basseterre",India,bat,0,4,West Indies
Jamaica,20-05-2006,West Indies,India,"Sabina Park, Kingston",India,field,1,0,West Indies
Trinidad,14-05-2006,West Indies,Zimbabwe,"Queen's Park Oval, Port of Spain",West Indies,bat,104,0,West Indies
Trinidad,13-05-2006,West Indies,Zimbabwe,"Queen's Park Oval, Port of Spain",West Indies,bat,0,0,
St Lucia,10-05-2006,West Indies,Zimbabwe,"Beausejour Stadium, Gros Islet",Zimbabwe,bat,0,10,West Indies
Antigua,30-04-2006,West Indies,Zimbabwe,"Antigua Recreation Ground, St John's",West Indies,bat,98,0,West Indies
Antigua,29-04-2006,West Indies,Zimbabwe,"Antigua Recreation Ground, St John's",West Indies,field,0,5,West Indies
Fatullah,28-04-2006,Bangladesh,Australia,Narayanganj Osmani Stadium,Bangladesh,bat,0,9,Australia
Fatullah,26-04-2006,Bangladesh,Australia,Narayanganj Osmani Stadium,Australia,bat,67,0,Australia
,23-04-2006,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,0,4,Australia
Abu Dhabi,19-04-2006,India,Pakistan,Sheikh Zayed Stadium,India,bat,51,0,India
Abu Dhabi,18-04-2006,India,Pakistan,Sheikh Zayed Stadium,India,bat,0,6,Pakistan
Indore,15-04-2006,India,England,Maharani Usharaje Trust Cricket Ground,India,field,0,7,India
Jamshedpur,12-04-2006,India,England,Keenan Stadium,India,bat,0,5,England
Margao,03-04-2006,India,England,"Nehru Stadium, Fatorda",India,bat,49,0,India
Faridabad,31-03-2006,India,England,Nahar Singh Stadium,England,bat,0,4,India
Delhi,28-03-2006,India,England,Feroz Shah Kotla,England,field,39,0,India
Colombo,22-03-2006,Sri Lanka,Pakistan,Sinhalese Sports Club Ground,Pakistan,field,0,4,Pakistan
Colombo,19-03-2006,Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,field,0,4,Pakistan
Colombo,17-03-2006,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,field,0,0,
Johannesburg,12-03-2006,South Africa,Australia,New Wanderers Stadium,Australia,bat,0,1,South Africa
Durban,10-03-2006,South Africa,Australia,Kingsmead,South Africa,bat,0,1,Australia
Port Elizabeth,05-03-2006,South Africa,Australia,St George's Park,South Africa,field,24,0,Australia
Auckland,04-03-2006,New Zealand,West Indies,Eden Park,New Zealand,bat,0,3,West Indies
Cape Town,03-03-2006,South Africa,Australia,Newlands,South Africa,bat,196,0,South Africa
Napier,01-03-2006,New Zealand,West Indies,McLean Park,West Indies,field,91,0,New Zealand
Centurion,26-02-2006,South Africa,Australia,SuperSport Park,Australia,bat,0,6,South Africa
Christchurch,25-02-2006,New Zealand,West Indies,Jade Stadium,New Zealand,bat,21,0,New Zealand
,25-02-2006,Bangladesh,Sri Lanka,Chittagong Divisional Stadium,Bangladesh,field,78,0,Sri Lanka
,22-02-2006,New Zealand,West Indies,Queenstown Events Centre,New Zealand,field,0,3,New Zealand
Bogra,22-02-2006,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,field,0,4,Bangladesh
Bogra,20-02-2006,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,0,5,Sri Lanka
Karachi,19-02-2006,Pakistan,India,National Stadium,India,field,0,8,India
Wellington,18-02-2006,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,81,0,New Zealand
,16-02-2006,Pakistan,India,Multan Cricket Stadium,India,field,0,5,India
Brisbane,14-02-2006,Australia,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",Sri Lanka,bat,0,9,Australia
Lahore,13-02-2006,Pakistan,India,Gaddafi Stadium,India,field,0,5,India
,12-02-2006,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,167,0,Australia
,11-02-2006,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,0,7,India
,10-02-2006,Australia,Sri Lanka,Adelaide Oval,Sri Lanka,bat,22,0,Sri Lanka
Hobart,07-02-2006,South Africa,Sri Lanka,Bellerive Oval,Sri Lanka,bat,76,0,Sri Lanka
Peshawar,06-02-2006,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,7,0,Pakistan
,05-02-2006,Australia,South Africa,Sydney Cricket Ground,Australia,bat,57,0,Australia
Melbourne,03-02-2006,Australia,South Africa,Docklands Stadium,Australia,bat,80,0,Australia
Perth,31-01-2006,South Africa,Sri Lanka,Western Australia Cricket Association Ground,Sri Lanka,bat,0,5,South Africa
Perth,29-01-2006,Australia,Sri Lanka,Western Australia Cricket Association Ground,Sri Lanka,bat,0,6,Australia
,26-01-2006,Australia,Sri Lanka,Adelaide Oval,Sri Lanka,bat,0,5,Australia
,24-01-2006,South Africa,Sri Lanka,Adelaide Oval,South Africa,bat,9,0,South Africa
,22-01-2006,Australia,Sri Lanka,Sydney Cricket Ground,Sri Lanka,bat,51,0,Sri Lanka
Melbourne,20-01-2006,Australia,South Africa,Docklands Stadium,Australia,bat,59,0,Australia
Brisbane,17-01-2006,South Africa,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",South Africa,field,94,0,Sri Lanka
Brisbane,15-01-2006,Australia,South Africa,"Brisbane Cricket Ground, Woolloongabba",Australia,bat,0,5,South Africa
Wellington,06-01-2006,New Zealand,Sri Lanka,Westpac Stadium,New Zealand,bat,21,0,New Zealand
Christchurch,03-01-2006,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,0,5,New Zealand
Queenstown,31-12-2005,Sri Lanka,New Zealand,John Davies Oval,New Zealand,field,0,7,New Zealand
,21-12-2005,England,Pakistan,Rawalpindi Cricket Stadium,England,bat,6,0,England
Karachi,15-12-2005,Pakistan,England,National Stadium,England,field,165,0,Pakistan
Lahore,10-12-2005,England,Pakistan,Gaddafi Stadium,England,bat,42,0,England
Auckland,03-12-2005,Australia,New Zealand,Eden Park,New Zealand,field,147,0,Australia
Mumbai,28-11-2005,South Africa,India,Wankhede Stadium,India,field,0,5,India
Hyderabad,16-11-2005,India,South Africa,"Rajiv Gandhi International Stadium, Uppal",South Africa,field,0,5,South Africa
Vadodara,12-11-2005,Sri Lanka,India,Reliance Stadium,Sri Lanka,bat,0,5,India
Rajkot,09-11-2005,Sri Lanka,India,Madhavrao Scindia Cricket Ground,India,field,0,7,India
Ahmedabad,06-11-2005,India,Sri Lanka,"Sardar Patel (Gujarat) Stadium, Motera",Sri Lanka,field,0,5,Sri Lanka
Centurion,06-11-2005,New Zealand,South Africa,SuperSport Park,South Africa,field,0,5,South Africa
Durban,04-11-2005,South Africa,New Zealand,Kingsmead,South Africa,bat,0,0,
Pune,03-11-2005,Sri Lanka,India,Nehru Stadium,India,field,0,4,India
Port Elizabeth,30-10-2005,New Zealand,South Africa,St George's Park,South Africa,field,0,4,South Africa
Chandigarh,28-10-2005,Sri Lanka,India,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,field,0,8,India
Cape Town,28-10-2005,South Africa,New Zealand,Newlands,South Africa,bat,19,0,South Africa
Nagpur,25-10-2005,India,Sri Lanka,Vidarbha C.A. Ground,India,bat,152,0,India
Melbourne,09-10-2005,Australia,ICC World XI,Docklands Stadium,Australia,bat,156,0,Australia
Melbourne,07-10-2005,Australia,ICC World XI,Docklands Stadium,Australia,bat,55,0,Australia
,06-09-2005,India,New Zealand,Harare Sports Club,India,bat,0,6,New Zealand
,04-09-2005,Zimbabwe,India,Harare Sports Club,India,field,0,4,India
,31-08-2005,New Zealand,Zimbabwe,Harare Sports Club,New Zealand,bat,27,0,New Zealand
Colombo,31-08-2005,Sri Lanka,Bangladesh,Sinhalese Sports Club Ground,Bangladesh,field,88,0,Sri Lanka
,29-08-2005,India,Zimbabwe,Harare Sports Club,Zimbabwe,field,161,0,India
Durban,21-08-2005,Africa XI,Asia XI,Kingsmead,Africa XI,bat,0,0,
Centurion,17-08-2005,Africa XI,Asia XI,SuperSport Park,Asia XI,field,2,0,Africa XI
Colombo,06-08-2005,West Indies,Sri Lanka,"R.Premadasa Stadium, Khettarama",West Indies,bat,33,0,West Indies
,02-08-2005,Sri Lanka,West Indies,Rangiri Dambulla International Stadium,Sri Lanka,bat,50,0,Sri Lanka
,31-07-2005,West Indies,India,Rangiri Dambulla International Stadium,West Indies,bat,0,6,India
London,12-07-2005,England,Australia,Kennington Oval,Australia,field,0,8,Australia
London,02-07-2005,Australia,England,Lord's,England,field,0,0,
Canterbury,30-06-2005,Bangladesh,Australia,St Lawrence Ground,Australia,field,0,6,Australia
Birmingham,28-06-2005,Australia,England,Edgbaston,Australia,bat,0,0,
Leeds,26-06-2005,Bangladesh,England,Headingley,Bangladesh,bat,0,5,England
Manchester,25-06-2005,Bangladesh,Australia,Old Trafford,Australia,field,0,10,Australia
Chester-le-Street,23-06-2005,Australia,England,Riverside Ground,England,field,57,0,Australia
Cardiff,18-06-2005,Australia,Bangladesh,Sophia Gardens,Australia,bat,0,5,Bangladesh
London,16-06-2005,Bangladesh,England,Kennington Oval,England,field,0,10,England
St Lucia,22-05-2005,Pakistan,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet",West Indies,field,22,0,Pakistan
St Vincent,18-05-2005,Pakistan,West Indies,"Arnos Vale Ground, Kingstown",West Indies,field,59,0,Pakistan
Trinidad,15-05-2005,West Indies,South Africa,"Queen's Park Oval, Port of Spain",South Africa,field,0,7,South Africa
Jamaica,08-05-2005,West Indies,South Africa,"Sabina Park, Kingston",South Africa,field,0,8,South Africa
Delhi,17-04-2005,Pakistan,India,Arun Jaitley Stadium,Pakistan,bat,159,0,Pakistan
Kanpur,15-04-2005,India,Pakistan,Green Park,India,bat,0,5,Pakistan
Ahmedabad,12-04-2005,India,Pakistan,"Sardar Patel (Gujarat) Stadium, Motera",India,bat,0,3,Pakistan
Visakhapatnam,05-04-2005,India,Pakistan,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,bat,58,0,India
Port Elizabeth,02-03-2005,Zimbabwe,South Africa,St George's Park,Zimbabwe,bat,0,5,South Africa
Wellington,01-03-2005,New Zealand,Australia,Basin Reserve,Australia,field,0,7,Australia
Durban,27-02-2005,South Africa,Zimbabwe,Kingsmead,Zimbabwe,field,131,0,South Africa
Auckland,26-02-2005,Australia,New Zealand,Eden Park,Australia,bat,86,0,Australia
Johannesburg,25-02-2005,South Africa,Zimbabwe,The Wanderers Stadium,Zimbabwe,field,165,0,South Africa
Centurion,13-02-2005,England,South Africa,SuperSport Park,South Africa,field,0,3,South Africa
Durban,11-02-2005,South Africa,England,Kingsmead,South Africa,bat,0,0,
East London,09-02-2005,South Africa,England,Buffalo Park,South Africa,bat,7,0,South Africa
Cape Town,06-02-2005,South Africa,England,Newlands,England,field,108,0,South Africa
,04-02-2005,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,18,0,Australia
Port Elizabeth,04-02-2005,England,South Africa,St George's Park,England,bat,0,3,South Africa
Bloemfontein,02-02-2005,England,South Africa,Mangaung Oval,South Africa,field,0,0,
Perth,01-02-2005,Pakistan,West Indies,W.A.C.A. Ground,West Indies,field,30,0,Pakistan
Dhaka,31-01-2005,Zimbabwe,Bangladesh,Bangabandhu National Stadium,Zimbabwe,bat,0,8,Bangladesh
Perth,30-01-2005,Australia,Pakistan,W.A.C.A. Ground,Australia,bat,0,3,Pakistan
Johannesburg,30-01-2005,South Africa,England,The Wanderers Stadium,England,field,26,0,England
,26-01-2005,Australia,West Indies,Adelaide Oval,Australia,bat,73,0,Australia
Chattogram,24-01-2005,Zimbabwe,Bangladesh,MA Aziz Stadium,Zimbabwe,bat,31,0,Zimbabwe
Sydney,23-01-2005,Pakistan,Australia,Sydney Cricket Ground,Australia,field,0,9,Australia
Brisbane,21-01-2005,West Indies,Australia,"Brisbane Cricket Ground, Woolloongabba",West Indies,bat,0,0,
Brisbane,19-01-2005,West Indies,Pakistan,"Brisbane Cricket Ground, Woolloongabba",Pakistan,field,0,6,Pakistan
Dhaka,27-12-2004,India,Bangladesh,Bangabandhu National Stadium,India,bat,91,0,India
Chattogram,23-12-2004,India,Bangladesh,MA Aziz Stadium,Bangladesh,field,11,0,India
Sydney,08-12-2004,Australia,New Zealand,Sydney Cricket Ground,Australia,bat,17,0,Australia
Bulawayo,05-12-2004,England,Zimbabwe,Queens Sports Club,England,bat,74,0,England
Melbourne,05-12-2004,Australia,New Zealand,Docklands Stadium,New Zealand,field,0,4,New Zealand
Harare,01-12-2004,England,Zimbabwe,Harare Sports Club,England,bat,161,0,England
Harare,28-11-2004,Zimbabwe,England,Harare Sports Club,England,field,0,5,England
Chattogram,02-11-2004,New Zealand,Bangladesh,MA Aziz Stadium,New Zealand,bat,138,0,New Zealand
Lahore,16-10-2004,Sri Lanka,Pakistan,Gaddafi Stadium,Pakistan,field,119,0,Sri Lanka
Rawalpindi,09-10-2004,Zimbabwe,Sri Lanka,Rawalpindi Cricket Stadium,Sri Lanka,field,0,7,Sri Lanka
Karachi,06-10-2004,Sri Lanka,Pakistan,National Stadium,Sri Lanka,bat,0,8,Pakistan
Peshawar,03-10-2004,Zimbabwe,Pakistan,Arbab Niaz Stadium,Pakistan,field,0,3,Pakistan
Multan,30-09-2004,Pakistan,Zimbabwe,Multan Cricket Stadium,Pakistan,bat,144,0,Pakistan
London,25-09-2004,England,West Indies,Kennington Oval,West Indies,field,0,2,West Indies
Southampton,22-09-2004,Pakistan,West Indies,The Rose Bowl,Pakistan,bat,0,7,West Indies
Birmingham,21-09-2004,Australia,England,Edgbaston,England,field,0,6,England
London,19-09-2004,South Africa,West Indies,Kennington Oval,West Indies,field,0,5,West Indies
Birmingham,19-09-2004,India,Pakistan,Edgbaston,Pakistan,field,0,3,Pakistan
Southampton,18-09-2004,England,Sri Lanka,The Rose Bowl,Sri Lanka,field,49,0,England
London,16-09-2004,New Zealand,Australia,Kennington Oval,Australia,field,0,7,Australia
Birmingham,15-09-2004,Kenya,Pakistan,Edgbaston,Pakistan,field,0,7,Pakistan
Southampton,15-09-2004,West Indies,Bangladesh,The Rose Bowl,Bangladesh,field,138,0,West Indies
London,14-09-2004,Zimbabwe,Sri Lanka,Kennington Oval,Sri Lanka,field,0,4,Sri Lanka
Southampton,13-09-2004,United States of America,Australia,The Rose Bowl,Australia,field,0,9,Australia
Birmingham,11-09-2004,England,Zimbabwe,Edgbaston,Zimbabwe,field,152,0,England
Southampton,11-09-2004,India,Kenya,The Rose Bowl,Kenya,field,98,0,India
London,10-09-2004,New Zealand,United States of America,Kennington Oval,United States of America,field,210,0,New Zealand
London,05-09-2004,India,England,Lord's,India,bat,23,0,India
London,04-09-2004,Australia,Pakistan,Lord's,Pakistan,field,10,0,Australia
London,03-09-2004,England,India,Kennington Oval,India,field,70,0,England
Nottingham,01-09-2004,India,England,Trent Bridge,England,field,0,7,England
Colombo,31-08-2004,Sri Lanka,South Africa,Sinhalese Sports Club,South Africa,field,49,0,Sri Lanka
Dambulla,28-08-2004,South Africa,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,field,0,7,Sri Lanka
Amstelveen,23-08-2004,Australia,India,VRA Cricket Ground,Australia,bat,0,0,
Amstelveen,21-08-2004,Pakistan,India,VRA Cricket Ground,India,field,66,0,Pakistan
Colombo,01-08-2004,Sri Lanka,India,R.Premadasa Stadium,Sri Lanka,bat,25,0,Sri Lanka
Colombo,27-07-2004,India,Sri Lanka,R.Premadasa Stadium,India,bat,4,0,India
Colombo,23-07-2004,Bangladesh,Sri Lanka,R.Premadasa Stadium,Bangladesh,bat,0,10,Sri Lanka
Colombo,21-07-2004,Pakistan,Sri Lanka,R.Premadasa Stadium,Pakistan,bat,0,7,Sri Lanka
Colombo,17-07-2004,Pakistan,Bangladesh,Sinhalese Sports Club,Pakistan,bat,76,0,Pakistan
London,10-07-2004,New Zealand,West Indies,Lord's,West Indies,field,107,0,New Zealand
