city,date,team1,team2,venue,toss_winner,toss_decision,win_by_runs,win_by_wickets,winner
Cape Town,27-11-2009,South Africa,England,Newlands,South Africa,bat,112,0,South Africa
Centurion,22-11-2009,South Africa,England,SuperSport Park,England,field,0,7,England
Centurion,10-11-2009,South Africa,Zimbabwe,SuperSport Park,Zimbabwe,field,212,0,South Africa
Abu Dhabi,09-11-2009,New Zealand,Pakistan,Sheikh Zayed Stadium,New Zealand,bat,7,0,New Zealand
Benoni,08-11-2009,South Africa,Zimbabwe,Willowmoore Park,Zimbabwe,field,45,0,South Africa
Guwahati,08-11-2009,India,Australia,Nehru Stadium,India,bat,0,6,Australia
Abu Dhabi,06-11-2009,New Zealand,Pakistan,Sheikh Zayed Stadium,New Zealand,bat,64,0,New Zealand
Hyderabad,05-11-2009,India,Australia,"Rajiv Gandhi International Stadium, Uppal",Australia,bat,3,0,Australia
Chittagong,05-11-2009,Bangladesh,Zimbabwe,Zohur Ahmed Chowdhury Stadium,Bangladesh,field,0,1,Bangladesh
Abu Dhabi,03-11-2009,New Zealand,Pakistan,Sheikh Zayed Stadium,Pakistan,bat,138,0,Pakistan
Chittagong,03-11-2009,Bangladesh,Zimbabwe,Zohur Ahmed Chowdhury Stadium,Zimbabwe,bat,0,6,Bangladesh
Chandigarh,02-11-2009,India,Australia,"Punjab Cricket Association Stadium, Mohali",India,field,24,0,Australia
Mirpur,31-10-2009,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Bangladesh,field,0,4,Bangladesh
Delhi,31-10-2009,India,Australia,Feroz Shah Kotla,Australia,bat,0,6,India
Mirpur,29-10-2009,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Zimbabwe,bat,0,7,Bangladesh
Nagpur,28-10-2009,India,Australia,"Vidarbha Cricket Association Stadium, Jamtha",Australia,field,99,0,India
Mirpur,27-10-2009,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Zimbabwe,field,0,5,Zimbabwe
Vadodara,25-10-2009,India,Australia,Reliance Stadium,Australia,bat,4,0,Australia
Centurion,05-10-2009,Australia,New Zealand,SuperSport Park,New Zealand,bat,0,6,Australia
Johannesburg,03-10-2009,New Zealand,Pakistan,New Wanderers Stadium,Pakistan,bat,0,5,New Zealand
Centurion,02-10-2009,Australia,England,SuperSport Park,England,bat,0,9,Australia
Johannesburg,30-09-2009,India,West Indies,New Wanderers Stadium,India,field,0,7,India
Centurion,30-09-2009,Australia,Pakistan,SuperSport Park,Australia,field,0,2,Australia
Johannesburg,29-09-2009,England,New Zealand,New Wanderers Stadium,New Zealand,field,0,4,New Zealand
Centurion,28-09-2009,Australia,India,SuperSport Park,Australia,bat,0,0,
Johannesburg,27-09-2009,New Zealand,Sri Lanka,New Wanderers Stadium,Sri Lanka,field,38,0,New Zealand
Centurion,27-09-2009,South Africa,England,SuperSport Park,England,bat,22,0,England
Centurion,26-09-2009,India,Pakistan,SuperSport Park,Pakistan,bat,54,0,Pakistan
Johannesburg,26-09-2009,Australia,West Indies,New Wanderers Stadium,West Indies,field,50,0,Australia
Johannesburg,25-09-2009,England,Sri Lanka,New Wanderers Stadium,England,field,0,6,England
Centurion,24-09-2009,South Africa,New Zealand,SuperSport Park,South Africa,field,0,5,South Africa
Johannesburg,23-09-2009,Pakistan,West Indies,New Wanderers Stadium,West Indies,bat,0,5,Pakistan
Centurion,22-09-2009,South Africa,Sri Lanka,SuperSport Park,South Africa,field,55,0,Sri Lanka
Chester-le-Street,20-09-2009,England,Australia,Riverside Ground,England,field,0,4,England
Nottingham,17-09-2009,England,Australia,Trent Bridge,Australia,bat,111,0,Australia
Nottingham,15-09-2009,England,Australia,Trent Bridge,England,bat,0,4,Australia
Colombo,14-09-2009,Sri Lanka,India,R Premadasa Stadium,India,bat,46,0,India
Colombo,12-09-2009,Sri Lanka,India,R Premadasa Stadium,Sri Lanka,bat,139,0,Sri Lanka
London,12-09-2009,England,Australia,Lord's,England,bat,0,7,Australia
Colombo,11-09-2009,India,New Zealand,R Premadasa Stadium,New Zealand,bat,0,6,India
Southampton,09-09-2009,England,Australia,The Rose Bowl,England,bat,0,6,Australia
Colombo,08-09-2009,Sri Lanka,New Zealand,R Premadasa Stadium,Sri Lanka,bat,97,0,Sri Lanka
London,06-09-2009,England,Australia,Lord's,England,field,39,0,Australia
London,04-09-2009,England,Australia,Kennington Oval,England,field,4,0,Australia
Belfast,27-08-2009,Ireland,England,"Civil Service Cricket Club, Stormont",England,bat,3,0,England
Toronto,19-08-2009,Canada,Kenya,Maple Leaf North-West Ground,Canada,field,0,9,Canada
Bulawayo,18-08-2009,Zimbabwe,Bangladesh,Queens Sports Club,Zimbabwe,bat,0,5,Bangladesh
Bulawayo,16-08-2009,Zimbabwe,Bangladesh,Queens Sports Club,Zimbabwe,bat,0,4,Bangladesh
Bulawayo,14-08-2009,Zimbabwe,Bangladesh,Queens Sports Club,Bangladesh,field,69,0,Zimbabwe
Bulawayo,11-08-2009,Zimbabwe,Bangladesh,Queens Sports Club,Zimbabwe,field,49,0,Bangladesh
Colombo,09-08-2009,Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,bat,132,0,Pakistan
Bulawayo,09-08-2009,Zimbabwe,Bangladesh,Queens Sports Club,Bangladesh,field,0,8,Bangladesh
Colombo,07-08-2009,Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,bat,146,0,Pakistan
,03-08-2009,Sri Lanka,Pakistan,Rangiri Dambulla International Stadium,Sri Lanka,field,0,6,Sri Lanka
,01-08-2009,Sri Lanka,Pakistan,Rangiri Dambulla International Stadium,Sri Lanka,field,0,6,Sri Lanka
St Kitts,31-07-2009,West Indies,Bangladesh,"Warner Park, Basseterre",West Indies,bat,0,3,Bangladesh
,30-07-2009,Sri Lanka,Pakistan,Rangiri Dambulla International Stadium,Pakistan,field,36,0,Sri Lanka
Dominica,28-07-2009,West Indies,Bangladesh,"Windsor Park, Roseau",West Indies,bat,0,3,Bangladesh
Dominica,26-07-2009,West Indies,Bangladesh,"Windsor Park, Roseau",West Indies,field,52,0,Bangladesh
St Lucia,05-07-2009,West Indies,India,"Beausejour Stadium, Gros Islet",India,field,0,0,
St Lucia,03-07-2009,West Indies,India,"Beausejour Stadium, Gros Islet",India,field,0,6,India
Jamaica,28-06-2009,West Indies,India,"Sabina Park, Kingston",India,bat,0,8,West Indies
Jamaica,26-06-2009,West Indies,India,"Sabina Park, Kingston",India,bat,20,0,India
Birmingham,26-05-2009,England,West Indies,Edgbaston,West Indies,field,58,0,England
Bristol,24-05-2009,England,West Indies,County Ground,England,field,0,6,England
Abu Dhabi,03-05-2009,Australia,Pakistan,Sheikh Zayed Stadium,Australia,bat,0,7,Pakistan
Abu Dhabi,01-05-2009,Australia,Pakistan,Sheikh Zayed Stadium,Pakistan,bat,0,8,Australia
Abu Dhabi,27-04-2009,Australia,Pakistan,Sheikh Zayed Stadium,Australia,bat,27,0,Australia
,24-04-2009,Australia,Pakistan,Dubai Sports City Cricket Stadium,Pakistan,bat,0,6,Australia
,22-04-2009,Australia,Pakistan,Dubai Sports City Cricket Stadium,Australia,bat,0,4,Pakistan
Benoni,19-04-2009,Afghanistan,Scotland,Willowmoore Park,Afghanistan,bat,89,0,Afghanistan
Johannesburg,17-04-2009,South Africa,Australia,New Wanderers Stadium,South Africa,field,47,0,Australia
Port Elizabeth,13-04-2009,South Africa,Australia,St George's Park,Australia,field,61,0,South Africa
Cape Town,09-04-2009,South Africa,Australia,Newlands,South Africa,bat,25,0,South Africa
Benoni,08-04-2009,Canada,Scotland,Willowmoore Park,Scotland,field,148,0,Canada
Centurion,05-04-2009,South Africa,Australia,SuperSport Park,Australia,bat,0,7,South Africa
St Lucia,03-04-2009,West Indies,England,"Beausejour Stadium, Gros Islet",West Indies,field,26,0,England
Durban,03-04-2009,South Africa,Australia,Kingsmead,Australia,bat,141,0,Australia
